DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_ICI,check,none,,,,10,100,,ICI,,,,CMENYMICI_REL,,NO,NO
CME_NYMEX_JB,check,none,,,,-7,3,,JB,,,,CMENYMJB_REL,,NO,NO
CME_NYMEX_JET,,none,,,,0,0,,JET,,,,CMENYMJET_REL,,NO,NO
CME_NYMEX_JKM,check,none,,,,3,20,,JKM,,,,CMENYMJKM_REL,,NO,NO
CME_NYMEX_MPE,,none,,,,0,0,,MPE,,,,CMENYMMPE_REL,,NO,NO
CME_NYMEX_MSG,check,none,,,,50,150,,MSG,,,,CMENYMMSG_REL,,NO,NO
CME_NYMEX_NPG,check,none,,,,1,10,,NPG,,,,CMENYMNPG_REL,,YES,NO
CME_NYMEX_PA,check,none,,,,500,1500,,PA,,,,CMENYMPA_REL,,NO,NO
CME_NYMEX_QEN,,none,,,,0,0,,QEN,,,,CMENYMQEN_REL,,NO,NO
CME_NYMEX_UT,check,none,,,,-1,1,,UT,,,,CMENYMUT_REL,,NO,NO
