FILES CHECKED,SERVER
CME_NYMEX_RL_ESET_20180712021317603.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_HO_ESET_20180712011522149.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_EWN_ESET_20180712021316967.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_I5_ESET_20180712021948838.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_8L_ESET_20180712021737298.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CPC_ESET_20180712013929725.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_EWG_ESET_20180712013517236.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_WQ_ESET_20180712021309733.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_PG_ESET_20180712021735126.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_QX_ESET_20180712011726844.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_JET_ESET_20180712013738538.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_US_ESET_20180712013257402.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_CPO_ESET_2018071201152884.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_FC_ESET_2018071201375422.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_JA_ESET_20180712021537392.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_ENS_ESET_20180712021312165.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_ALI_ESET_2018071201171985.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_HMW_ESET_20180712022100117.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_FY_ESET_20180712021450799.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_FLP_ESET_20180712011420759.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_7D_ESET_20180712013400920.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_WJ_ESET_20180712021459329.xml,//10.0.9.58/gdmx/loaderGdmx/
CME_NYMEX_KT_ESET_20180712021737141.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_7E_ESET_20180712011732198.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_8I_ESET_20180712013420747.xml,//10.0.9.91/gdmx/loaderGdmx/
CME_NYMEX_EZ_ESET_20180712011423966.xml,//10.0.9.64/gdmx/loaderGdmx/
CME_NYMEX_EM_ESET_20180712021735423.xml,//10.0.9.91/gdmx/loaderGdmx/
